阿谀奉承,攀龙趋凤
泪流满面,泪眼汪汪
类别,种别
范例,类型
淡漠,冷淡
冷风,凉风
冷静,岑寂
冷酷,冷漠
荒凉,冷落
淡漠,冷漠
冷暖自知,心里有数
冷僻,冷清
冷静,冷清
嘲笑,冷笑
暗斗,冷战
停住,愣住
离婚,仳离
诽谤,离间
离开,脱离
拜别,离去
离职,去职
遭灾,罹难
礼拜,星期
礼服,制服
礼节,礼仪
规矩,礼貌
礼品,礼物
礼聘,聘请
礼让,谦逊
礼尚往来,投桃报李
会堂,礼堂
里面,内里
答理,理睬
理当如此,天经地义
理发,剃头
理会,剖析
理解,明白
理屈词穷,默不作声
理所当然,天经地义
来由,理由
理直气壮,义正辞严
力不从心,力有未逮
孔武有力,力大无穷
力量,气力
力求,力图
力图,力争
饱经风霜,历尽沧桑
长期,历久
历来,向来
历历在目,念念不忘
积年,历年
汗青,历史
厉兵秣马,盛食厉兵
锋利,厉害
备案,立案
立场,态度
吹糠见米,立杆见影
立即,立刻
立名,扬名
立品,立身
发愤,立志
立足,驻足
方便,利便
好坏,利害
利钱,利息
长处,利益
利用,使用
利欲熏心,自私自利
比方,例如
例外,破例
官样文章,例行公事
从属,隶属
到临,莅临
连合,团结
连接,毗连
连累,牵连
连络,连系
立刻,连忙
连绵,绵延
比年,连年
结合,连系
连续,一连
怜惜,痛惜
荡漾,涟漪
联贯,连绵
联合,团结
联婚,联姻
联结,联络
联袂,携手
联盟,同盟
接洽,联系
联想,遐想
联姻,攀亲
便宜,廉价
耿介,廉洁
脸蛋,面庞
脸红,酡颜
脸颊,面颊
脸孔,面目
表情,脸色
练习,训练
恋人,情人
很久,良久
本心,良心
良药苦口,忠言逆耳
良知,知己
凉快,凉爽
两边,双方
两端,两头
两极,南北极
两全其美,一箭双鵰
两小无猜,青梅竹马
两袖清风,囊空如洗
谅解,体谅
量力而行,实事求是
聊天,谈天
寥寥无几,寥若晨星
了不得,了不起
告终,了结
了解,相识
了结,了却
洞若观火,了如指掌
料到,推测
料理,摒挡
料事如神,臆则屡中
料想,意料
列举,枚举
次货,劣货
败行,劣行
烈火,猛火
烈士,义士
缝隙,裂缝
裂缝,裂痕
邻接,毗邻
邻近,相近
邻居,邻人
各式各样,林林总总
临机处置,临机应变
临近,邻近
临摹,摹仿
临时,暂时
见义勇为,临危不惧
极尽描摹,淋漓尽致
怜惜,吝惜
孤独,伶仃
聪明,伶俐
机动,灵活
灵敏,敏捷
机灵,灵巧
灵药,仙丹
凌晨,破晓
高出,凌驾
凌乱,缭乱
凌虐,虐待
凌云壮志,志薄云霄
凝听,聆听
零乱,庞杂
寥落,零落
零散,零星
零碎,琐屑
领导,向导
了解,领会
领略,明白
承情,领情
领悟,意会
领袖,首脑
令人发指,怒不可遏
别开生面,另具匠心
另起炉灶,重新努力别辟门户
别的,另外
另有,尚有
抱头鼠窜,溜之大吉
欣赏,浏览
流畅,流通
活动,流动
流芳百世,千古流芳
放逐,流放
流浪,流离
堕泪,流泪
颠沛流离,流离失所
乐不思蜀,流连忘返
表露,流露
流落,漂泊
避难,流亡
流行,盛行
浮名,流言
飞短流长,流言蜚语
留步,停步
留恋,迷恋
包涵,留情
留神,留意
把稳,留心
留意,注意
六根清净,一乾二净
龙飞凤舞,鸾翔凤翥
龙精虎猛,生龙活虎
龙马精神,龙腾虎跃
龙蛇混杂,泥沙俱下
拉拢,笼络
包围,笼罩
谨慎,隆重
把持,垄断
鄙俗,陋俗
成规,陋习
漏电,泄电
漏掉,遗漏
漏洞,毛病
漏网之鱼,丧家之犬
暴露,露出
出漏洞,露马脚
露水,露珠
出神入化,炉火纯青
粗鲁,卤莽
连续,陆续
登科,录取
灌音,录音
录用,任命
凑数其间,碌碌无为
路程,旅程
路费,盘费
路过,途经
路线,门路
旅店,旅馆
旅客,游客
屡次,频频
屡屡,频频
履行,推行
法规,律例
律师,状师
带领,率领
率直,坦白
乱闯,乱撞
乱来,瞎搅
乱骂,漫骂
乱七八糟,七零八落
乱世,浊世
沉溺,沦落
沦亡,沦陷
沦陷,陷落
轮船,汽船
轮番,轮替
轮回,循环
表面,轮廓
轮番,轮流
论功行赏,照功行赏
论述,叙述
摆列,罗列
落成,完工
落后,落伍
落花流水,屁滚尿流
落井下石,雪上加霜
流浪,落难
落魄,崎岖潦倒
落日,夕阳
就逮,落网
掉队,落伍
落第,落选
麻烦,贫苦
麻痹,麻木
麻醉剂,镇痛剂
快马加鞭,马不停蹄
马到成功,旗开马到
马脚,破绽
立刻,马上
马首是瞻,密切追随
船埠,码头
埋伏,匿伏
埋没,隐藏
埋头,笃志
抱怨,埋怨
安葬,埋葬
大班,买办
交易,买卖
卖力,认真
矫饰,卖弄
蛮横无理,强词夺理
蛮人,生番
蛮夷,夷狄
满意,满足
谩骂,诅咒
慢慢,逐步
漫笔,随笔
不以为意,漫不经心
漫步,闲步
得陇望蜀,漫无止境
漫游,周游
蔓延,伸张
繁忙,忙碌
盲人,瞽者
盲眼,瞎眼
莽撞,冒失
不寒而栗,毛骨悚然
毛遂自荐,自我介绍
抵牾,矛盾
茅舍,茅屋
冒昧,造次
冒名行骗,招摇撞骗
鲁莽,冒失
搏命,冒死
贸易,商业
貌合神离,同床异梦
没落,消灭
籍籍无名,没没无闻
败兴,没趣
充公,没收
没头没脑,劈头盖脸
罗列,枚举
眉飞色舞,眉开眼笑
眉目传情,眼去眉来
媒介,前言
媒婆,牙婆
媒人,媒妁
火油,煤油
每每,通常
每日,逐日
每时每刻,时时刻刻
每天,天天
美丑,妍媸
美观,雅观
美好,优美
美酒,琼浆
美丽,漂亮
美轮美奂,竹苞松茂
美满,完满
美满收场,曲终奏雅
美貌,仙颜
美好,美妙
美名,隽誉
美男,美女
美女,玉人
美人,尤物
佳话,美谈
美味,鲜味
美意,盛情
家世,门第
家声,门风
流派,门户
门路,蹊径
华盖云集,门庭若市
门外汉,外行人
抚躬自问,扪心自问
忽忽不乐,闷闷不乐
抽芽,萌芽
盟国,友邦
盟主,牛耳
昏黄,朦胧
剧烈,猛烈
蒙昧,无知
蒙受,遭受
聪明一世,懵懂一时
梦话,梦呓
梦境,梦乡
梦寐以求,求之不得
空想,梦想
补充,弥补
垂危,弥留
含糊,迷糊
迷惑,疑惑
迷茫,渺茫
迷迷糊糊,模模糊糊
迷途,失路
觉返迷津,迷途知反
答案,谜底
靡靡之音,濮上之音
米已成炊,木已成舟
秘籍,秘笈
密集,麋集
暗码,密码
密谋,谋害
好友,密友
密语,私语
蜜语,甜言
绵绵不断,源源不绝
免除,免去
免得,省得
夺职,免职
勉强,委曲
惦记,缅怀
忸怩,腼腆
面对,面临
面孔,面貌
面貌,面目
八面见光,面面俱到
面目可憎,言语无味
面目全非,面目一新
焕然一新,面目一新
面前,眼前
面目面貌,面容
面如死灰,面如土色
面色苍白,面无人色
口试,面试
面子,体面
描画,描绘
刻画,描绘
描摹,形貌
描述,形貌
描写,形貌
渺小,眇小
傲睨,渺视
妙计,奇策
二八佳人,妙龄少女
妙手,能手
妙手回春,药到回春
妙算,神算
灵药,妙药
妙语,趣话
妙语横生,谈笑风生
古刹,庙宇
灭顶,溺死
灭尽,灭绝
灭亡,死亡
鄙视,蔑视
民风,民俗
百孔千疮,民生凋敝
民气,民心
大众,民众
淹灭,泯灭
名不副实,名存实亡
过甚其实,名过其实
名利双收,求名求利
名列前茅,压倒一切
名流,名士
名门,王谢
款式,名目
名片,手刺
名流,名人
名胜,胜景
花样,名堂
名望,名誉
光荣,名誉
臭名昭着,名誉扫地
名震一时,声誉鹊起
光明正大,名正言顺
明白,明确
明辨是非,是非分明
明朗,清朗
豁亮,明亮
明白,明了
明媚,妖冶
明明,明显
明火执仗,明目张胆
来岁,明年
明枪暗箭,明争暗斗
嫡,明日
明日黄花,时过境迁
明示,昭示
来日诰日,明天
明了,明晰
明显,显着
明哲保身,一尘不染
明知故犯,州官放火
鸣金收兵,销声匿迹
铭记,铭刻
命令,下令
命根子,命脉
定名,命名
命途多舛,生不逢辰
命运,运气
命中,掷中
摸索,探索
模仿,模拟
含糊,模糊
模型,模子
模样,容貌
敬拜,膜拜
摩登,漂亮
检验,磨练
锻炼,磨炼
磨灭,消逝
苦难,磨难
魔法,邪术
魔鬼,妖怪
苦难,魔难
把戏,魔术
勾消,抹煞
末端,末了
末端,末尾
陌生,生疏
莫非,难道
漫不经心,漠不关心
漠然置之,置若罔闻
猛然,蓦地
蓦地,蓦然
墨客,书生
抱残守缺,墨守成规
默不作声,默默无言
冷静,默默
缄默,默然
策划,谋划
谋略,盘算
谋面,碰面
谋求,钻营
谋杀,行刺
谋生,营生
谋事,找事
谋事在人,人定胜天
或人,某人
母大虫,母老虎
木材,木料
木柴,木料
木工,木匠
木鸡之呆,目瞪口呆
目标,目的
目不识丁,胸无点墨
聚精会神,目不斜视
目不斜视,目不转睛
理屈词穷,目瞪口呆
目睹,眼见
目光,眼光
目光短浅,目光如豆
目光如电,目光如炬
目击,眼见
目空一切,目中无人
目次,目录
目前,现在
见闻习染,目染耳濡
目无法纪,目无王法
目眩,眼花
洗浴,沐浴
募集,召募
老年,暮年
暮气,死气
打定主意,拿定主意
拿手,特长
哪里,那里
本地,内地
内涵,内在
内哄,内乱
内耗,内讧
内疚,忸怩
本地,内陆
内乱,内乱
底细,内情
表里,内外
内心,心田
老手,内行
内衣,亵服
那边,那里
那个,谁人
当时,那时
纳贿,受贿
烦闷,纳闷
乃至,以致
奶名,小名
奈何,怎样
耐烦,耐心
历久,耐久
刻苦,耐劳
耐烦,耐性
男儿膝下有黄金,男子汉大丈夫
男人,男子
夫君,男子
南边,南方
出生入死,南征北战
难熬,难过
难道,岂非
难得,难过
难懂,难明
难解,难明
难过,难堪
丢脸,难看
难民,灾黎
难民营,栖流所
难舍难分,藕断丝连
难熬,难受
困难,难题
刺耳,难听
难兄难弟,一丘之貉
难以估计,无法计算
不可思议,难以想象
囊括,席卷
囊中物,瓮中鳖
大发雷霆,恼羞成怒
脑袋,脑壳
脑筋,头脑
脑筋,脑子
打饥荒,闹饥荒
闹事,生事
叫嚣,呐喊
能干,醒目
可以或许,能够
本领,能力
能言善辩,舌粲莲花
泥土,土壤
不共戴天,你死我活
订定,拟订
拟定,制定
刺耳,逆耳
逆来顺受,唾面自干
宠爱,溺爱
拈花惹草,寻花问柳
光阴,年华
年纪,年龄
年龄,年事
年老,年迈
年青,年轻
年轻力壮,手轻脚健
年轻貌美,绮年玉貌
年少,幼年
年事,年岁
年纪,年数
年龄,年岁
年初,年头
年末,年尾
年幼无知,少不更事
年代,年月
年末,年终
念佛,念经
念念不忘,念兹在兹
动机,念头
娘家,外家
母舅,娘舅
鸟尽弓藏,兔死狗烹
鸟语花香,莺啼燕语
宁静,平静
宁可,宁肯
宁肯,宁愿
宁当玉碎,宁死不屈
不屈不挠,宁为玉碎
甘心,宁愿
凝结,凝聚
凝神,凝思
凝视,注视
凝视,凝望
呆滞,凝滞
驴唇不对马嘴,牛头不对马嘴
农夫,农民
农历,夏历
浓厚,浓重
浓烈,浓郁
稠密,浓密
浓厚,浓郁
浓妆,盛饰
浓装艳裹,浓妆艳抹
奴婢,仆众
奴才,仆从
奴隶,仆从
奴仆,奴婢
卑躬屈膝,奴颜婢膝
积极,努力
怒发冲冠,拊膺切齿
怒吼,咆哮
肝火,怒火
怒火万丈,拊膺切齿
怒火中烧,拊膺切齿
怒气冲冲,怒气冲发
怒气冲天,拊膺切齿
瞪眼,怒视
女侍,女婢
女强人,铁娘子
密斯,女士
半子,女婿
女伶,女优
女中豪杰,女中丈夫
虐待,荼毒
暴政,虐政
暖和,温暖
调用,挪用
诺言,信誉
懦夫,怯夫
脆弱,懦弱
歌唱,讴歌
欧美,西欧
呕吐,吐逆
费尽心血,呕心沥血
偶尔,偶然
趴下,爬下
击节称赏,拍案叫绝
拍马屁,捧臭脚
打门,拍门
拍照,照相
徘徊,倘佯
场面,排场
排斥,排挤
排出,排挤
排除,清除
列队,排队
排挤,倾轧
排练,排演
分列,排列
排解,排遣
牌坊,牌楼
流派,派别
调派,派遣
派头,气魄
攀登,攀缘
攀附,攀援
盘查,盘问
旅费,盘缠
盘点,盘货
箕踞,盘蹲
分裂,盘据
鉴别,判别
判定,判断
判决,讯断
变节,叛变
反叛,叛逆
渴望,盼望
盼望,盼愿
滂湃,滂沱
倾盆大雨,滂沱大雨
巨大,庞大
繁芜,庞杂
观看,旁观
旁门,歪路
拐弯抹角,旁敲侧击
不可一世,旁若无人
旁征博引,引经据典
抛弃,扬弃
抛掷,投掷
爆仗,炮竹
跑江湖,跑码头
跑马,赛马
泡茶,沏茶
伴随,陪伴
衬托,陪衬
陪伴,陪同
培养,造就
培养,培育
扶植,培植
亏本,赔本
赔礼,赔罪
赔罪,谢罪
佩戴,佩带
敬佩,佩服
副角,配角
夫妇,配偶
配药师,药剂师
配置,设置
烹调,烹饪
朋比为奸,通同作恶
朋友,朋侪
发达,蓬勃
澎湃,汹涌
恭维,捧场
举杯,碰杯
碰壁,碰钉子
碰到,遇到
碰鼻,碰钉子
碰见,遇见
可巧,碰巧
见面,碰头
碰到,碰着
驳倒,批驳
批改,修正
批驳,批判
批评,品评
批示,指挥
讲明,批注
答应,批准
马虎,纰漏
不对,纰谬
披发,散发
丹成相许,披肝沥胆
披荆棘,披荆斩棘
披麻带孝,拖麻拽布
蓬首垢面,披头散发
披星戴月,栉风沐雨
披览,披阅
开端,劈头
劈叉,劈腿
轰隆,霹雳
连接,毗邻
疲惫,疲劳
脾气,性情
脾气,脾性
对抗,匹敌
匹夫之勇,血气之勇
僻静,平静
比方,譬喻
片段,片断
半晌,片刻
片面之词,片面之言
片刻,片晌
偏爱,偏幸
毛病,偏差
包庇,偏护
偏见,私见
冷僻,偏僻
偏袒,左袒
偏爱,偏心
偏言,曲说
骗财,诈财
慓悍,剽悍
抄袭,剽窃
飘零,漂荡
漂泊,漂浮
漂泊,漂流
飘荡,飘扬
飘荡,飘零
飘飘然,由由然
冶游,嫖妓
瞥见,望见
拼凑,拼集
冒死,拼命
搏命,拼死
贫乏,缺少
贫寒,清贫
贫苦,贫困
贫民,穷人
贫苦,贫穷
贫血,血虚
频繁,频仍
反复,频频
品德,品行
风致,品格
操行,品行
品格,品质
聘请,约请
聘任,聘用
安全,平安
平步青云,青云直上
平常,寻常
平旦,平明
平淡,平庸
平等,同等
安定,平定
平常,平凡
平反,昭雪
平分,中分
半斤八两,平分秋色
平静,清静
平局,平手
均匀,平均
布衣,平民
不相上下,平起平坐
平日,通常
平生,一生
平常,平时
平坦,平展
康庄大道,平坦大路
安稳,平稳
持平立论,平心而谈
平心静气,心平气和
平易,夷易
和颜悦色,平易近人
评比,评选
批评,评论
批评,评述
评头论足,说长道短
考语,评语
凭借,依附
闭门造车,凭空捏造
凭据,凭证
摈弃,屏弃
屏蔽,屏障
不期而遇,萍水相逢
恶妻,泼妇
泼辣,凶暴
地痞,泼皮
必不得已,迫不得已
迫不及待,如饥似渴
迫不及待,迫在眉睫
破产,停业
排除,破除
花费,破费
背城借一,破釜沉舟
破镜重圆,坠欢重拾
破口大骂,扬声恶骂
破裂,破碎
幻灭,破灭
破坏,破损
破涕为笑,转悲为喜
漏洞,破绽
魄力,气概气派
辨白,剖白
别析,剖辨
剖判,剖释
分析,剖析
跟班,仆从
仆人,仆役
仆役,西崽
鞭挞,扑打
劈面,扑面
空中楼阁,扑朔迷离
放开,铺开
摆设,铺排
浪费,铺张
空洞,朴陋
朴实,朴素
朴素,质朴
广泛,普遍
遍及,普及
率土同庆,普天同庆
平凡,普通
七上八下,忐忑不安
七手八脚,手足无措
七嘴八舌,人多口杂
凄惨,凄切
悲凉,凄凉
居住,栖身
等待,期待
盼望,期望
期限,限期
欺负,欺凌
陵暴,欺凌
欺骗,诱骗
欺软怕硬,欺善怕恶
欺侮,侮辱
欺凌,欺压
欺诈,敲诈
黑暗,漆黑
会合,齐集
齐备,齐全
齐心,同心
划一,齐整
其后,厥后
其实,实在
别的,其它
别的,其余
此中,其中
奇奥,奇妙
奇怪,希奇
奇观,异景
奇丽,秀丽
奥妙,奇妙
怪杰,奇人
奇特,奇异
鄙视,歧视
歧途,邪路
盼望,祈望
将遇良才,棋逢敌手
旗号,旗帜
马到成功,旗开得胜
旗手,旗头
旗子,旌旗
乞丐,托钵人
恳求,乞求
企盼,瞻仰
计划,企图
盼望,企望
起程,启程
开口,启齿
启迪,启示
动身,启航
发蒙,启蒙
庸人自扰,杞人忧天
草拟,起草
动身,起程
起初,早先
出发点,起点
起飞,腾飞
起伏,升沉
发迹,起家
努力,起劲
起落,升降
起码,最少
起色,转机
起家,起身
起死回生,死去活来
叛逆,起义
起因,因由
劈头,起源
富丽,绮丽
绮绮子弟,绮襦纨裤
气昂昂,雄赳赳
气度,心胸
愤怒,气忿
气愤,生气
风格,气概
气候,天气
力气,气力
气量,宇量
灰心,气馁
派头,气派
气魄,气势
气势磅礡,气吞山河
气势,威风凛凛
气味,气息
景象,气象
气势,气焰
高视睨步,气宇轩昂
泪流满面,泣如雨下
契约,左券
东西,器材
器具,用具
度量,器量
东西,器械
恰当,适当
恰到好处,恰如其分
恰好,恰恰
碰巧,恰巧
洽商,洽谈
变化多端,千变万化
精益求精,千锤百炼
费尽心机,千方百计
令媛,千金
千钧一发,岌岌可危
千篇一律,如出一辙
盘根错节,千头万绪
千万,万万
历尽艰辛,千辛万苦
千载难逢,千载一时
千真万确,确切不移
搬家,迁居
迁移,迁徙
牵扯,牵涉
挂念,牵挂
扳连,牵涉
管束,牵制
谦恭,谦和
谦让,忍让
谦善,谦虚
谦虚,谦逊
签订,签署
签定,签订
签名,署名
具名,签字
前辈,先辈
前车可鉴,前车之鉴
火线,前方
前锋,先锋
半途而废,前功尽弃
前呼后拥,一呼百诺
进步,前进
前景,远景
前列,前线
前赴后继,前仆后继
前去,前往
前生,宿世
前世,宿世
前思后想,忖前思后
前所未有,亘古未有
前提,条件
前程,前途
火线,前线
来龙去脉,前因后果
前兆,先兆
图章,钤记
虔诚,虔敬
财帛,钱财
钱庄,银号
埋伏,潜伏
埋没,潜匿
叛逃,潜逃
潜伏,潜在
黔驴技穷,黔驴之技
浮浅,浅薄
肤见,浅见
浅薄,浅陋
淡色,浅色
浅近,浅显
浅显,浅易
遣散,驱逐
非难,谴责
短缺,欠缺
不当,欠妥
强暴,强横
逼迫,强逼
强大,强盛
匪贼,强盗
夸大,强调
刁悍,强悍
霸道,强横
猛烈,强烈
逼迫,强迫
能人,强人
刚强,强项
倔强,强硬
逼迫,强制
强健,强壮
劫掠,抢夺
掳掠,抢劫
救济,抢救
劫掠,抢掠
抢先,争先
悄悄的,偷偷的
寂静,悄然
拍门,敲门
敲诈,诓骗
乔迁,燕徙
出谷迁乔,乔迁之喜
干瘪,憔悴
偶合,巧合
奇妙,巧妙
敲诈勒索,巧取豪夺
巧舌,巧言
秘诀,窍门
切磋,探讨
堵截,切断
切肤之痛,切身痛苦
牢记,切记
胆小,怯弱
交头接耳,窃窃私语
暗笑,窃笑
舒服,惬意
坚持不懈,锲而不舍
酷爱,亲爱
密切,亲近
密切,亲密
密切,亲昵
密切,亲切
亲切,亲热
亲如手足,情同骨肉
切身,亲身
亲信,知己
亲朋,亲友
亲属,支属
亲身,亲自
劫夺,侵夺
侵犯,侵占
陵犯,侵害
侵犯,侵略
侵扰,扰乱
腐蚀,侵蚀
陵犯,侵吞
陵犯,侵占
佩服,钦佩
两姓之欢,秦晋之好
勤奋,勤劳
勤奋,勤恳
发愤,勤苦
寝食不安,食不甘味
寝室,睡房
青葱,青翠
青红皂白,是非黑白
彼苍,青天
青蛙,田鸡
扶摇直上,青云直上
轻便,轻巧
浮滑,轻薄
得心应手,轻车熟路
轻渎,侮慢
轻而易举,十拿九稳
轻风,微风
浮滑,轻浮
胆大妄为,轻举妄动
浮滑,轻狂
草率,轻率
骄易,轻慢
轻蔑,轻视
轻敲,小扣
轻巧,轻盈
轻手轻脚,蹑手蹑脚
轻微,稍微
轻易,容易
颠覆,倾覆
败尽家业,倾家荡产
倾慕,倾心
倾盆,滂湃
倾诉,倾吐
倾听,谛听
倾泻,倾注
明净,清白
清澈,清亮
清晨,清早
清除,扫除
清楚,清晰
清脆,响亮
平淡,清淡
盘点,清点
清高,狷介
金科玉律,清规戒律
剿灭,清剿
干净,清洁
寂静,清静
清冷,清凉
清理,清算
廉洁,清廉
明朗,清明
贫苦,清贫
排除,清扫
清爽,清新
净水,清水
清算,整理
清洗,洗濯
安定,清闲
清醒,苏醒
清秀,秀气
清幽,幽静
朝晨,清早
谍报,情报
情感,情绪
景象,情景
情面,人情
情同骨肉,情同手足
情投意合,同舟共济
情况,情形
感情,情绪
情义,情谊
情谊,友谊
情意,情谊
情有独锺,情之所锺
情有可原,无可非议
甘心,情愿
情之所锺,有独锺
明朗,晴朗
擎天一柱,砥柱中流
顷刻,霎时
请安,致意
请柬,请帖
请教,讨教
请客,宴客
哀求,请求
请示,叨教
拜托,请托
请问,叨教
庆贺,庆祝
贫乏,穷乏
贫苦,穷苦
贫乏,穷困
潦倒穷困,穷困潦倒
命运坎坷,穷途潦倒
断港绝潢,穷途末路
穷山垩水,穷乡僻壤
暴戾恣睢,穷凶极恶
金风抽丰,秋风
秋高气爽,天高气爽
秋日,秋天
犯人,囚犯
求教,讨教
求情,讨情
求全,责备
求饶,讨饶
拜鬼求神,求神拜佛
爱才如命,求贤若渴
求学,修业
告急,求助
区区,戋戋
地区,区域
曲直,是曲
驱策,驱使
消灭,祛除
趋附者众,趋之若鹜
取暖,取暖和
弃取,取舍
讽刺,取笑
媚谄,取悦
娶妻,授室
纳宠,娶妾
结婚,娶亲
去处,行止
客岁,去年
毕命,去逝
去处,去向
趣味,意见意义
妙闻,趣闻
骗局,圈套
全国,天下
百口,全家
全军,三军
全军覆没,全军尽没
端赖,全靠
尽力,全力
全能,万能
全年,整年
全盘,通盘
环球,全球
全日,整日
满身,全身
满是,全是
经心,全心
权柄,职权
权贵,显贵
权利,权力
机谋,权略
权谋,权术
霸术,权术
权势巨子,权威
解释,诠释
病愈,痊愈
感导,劝化
规劝,劝戒
奉劝,劝说
缺漏,罅漏
建立,确立
聚集,群集
但是,然则
抱病,染病
染指,问鼎
宽恕,饶恕
惹火烧身,引火烧身
惹祸,肇事
激情亲切,热忱
热点,热门
人道,人性
地利人和,人地相宜
人浮于事,僧多粥少
品德,人格
人口,生齿
老树枯柴,人老珠黄
人面兽心,行同狗彘
人命,性命
品德,人品
人情冷暖,世态炎凉
大家,人人
人间,人世
千算万算，不值天一划,人算不如天算
民气,人心
胆战心惊,人心惶惶
火食,人烟
人员,职员
人缘,因缘
不由得,忍不住
认识,熟悉
认为,以为
任凭,听凭
任务,使命
任意,恣意
抛弃,扔掉
仍旧,仍然
还是,仍是
日常,一样平常
日记,日志
白天,日间
繁华,荣华
光彩,荣耀
边幅,容貌
熔解,溶化
领悟,融会
柔美,优美
柔嫩,柔软
如此,云云
仍旧,如故
如何,怎样
如何是好,如之奈何
如虎添翼,为虎傅翼
风起云涌,如火如荼
大喜过望,如获至宝
如今,现在
如期,准期
方兴未艾,如日中天
如同,犹如
快意,如意
如影随形,跬步不离
辱骂,唾骂
入神,着迷
润泽,滋润
多少,若干
如何,若何
如果,若是
如有,若有
缺点,弱点
流传,撒播
撒谎,说谎
撒泼,撒野
洒脱,潇洒
塞翁失马,因祸得福
竞走,赛跑
半夜,三更
三令五申,再三告诫
鼎足之势,三足鼎立
拆伙,散伙
丧尽天良,丧心病狂
扫墓,省墓
扑灭,杀绝
杀害,杀戮
达成,杀青
滥杀无辜,杀人如麻
杀鸡骇猴,杀一儆百
疆场,沙场
沙岸,沙滩
刹时,瞬间
傻人有傻福,天公疼核
山川,山水
山洞,岩穴
盗窟,山寨
编削,删改
煽动,煽惑
让开,闪开
闪烁,闪耀
闪耀,闪灼
闪烁,闪灼
擅长,善于
擅自,私自
米饭钱,赡养费
伤风败俗,有伤风化
遍体鳞伤,伤痕累累
商场,阛阓
商店,市肆
商量,探讨
商店,商铺
商榷,商讨
贩子,商人
商量,商议
惩罚,赏罚
赏光,赏脸
赏识,欣赏
赏心悦目,心旷神怡
登陆,上岸
彼苍,上苍
前次,上次
被骗,上当
上帝,天主
吊颈,上吊
上钩,中计
设备,装备
设法,想法
计划,设计
办法,设施
假想,设想
设席,设宴
交际,社交
赦免,赦宥
拍照,摄影
辩论,申辩
申明,说明
申说,申诉
伸展,舒展
身材,身段
身分,因素
身后,死后
技艺,身手
身材,身体
身形,体态
名流,绅士
切齿腐心,深恶痛绝
厚交,深交
穷究,深究
蜜意,深情
深思熟虑,深图远虑
深信,笃信
深厚,深挚
神采飞扬,神采奕奕
出没无常,神出鬼没
秘密,神秘
神气,神情
模样形状,神情
脸色,神色
模样形状,神态
神往,向往
神态,神志
检察,审查
考核,审核
审视,审阅
过堂,审问
审判,审讯
乃至,甚至
排泄,渗出
渗出,渗透
紧密,慎密
抱病,生病
生成,天生
生果,水果
生存,生活
米饭钱,生活费
生机,生气
生机勃勃,生气勃勃
生存,生计
恐怕,生怕
平生,生平
活捉,生擒
紧要关头,生死关头
生死之交,刎颈交
见效,生效
生活,生涯
买卖,生意
生养,生育
申明,声名
声势,阵容
声气,声息
荣誉,声誉
声张,张扬
牲口,畜生
牲口,牲畜
胜败,胜负
赛过,胜过
省城,省垣
圣人,贤人
圣旨,诏书
隆重,盛大
不可一世,盛气凌人
盛情,盛意
盛装,艳服
尸骨,尸骸
尸体,遗体
失策,失察
合浦珠还,失而复得
丢魂失魄,失魂落魄
败北,失利
失窃,失贼
扫兴,失望
失信,失约
当面错过,失之交臂
失落,失踪
出错,失足
墨客,诗人
救济,施舍
发挥,施展
十恶不赦,罪大恶极
非常,十分
安若泰山,十拿九稳
十全十美,完美无缺
时辰,时候
期间,时代
韶光,时光
时候,时间
机遇,时机
时局,时势
时候,时刻
时事,时势
局势,时势
格于环境,时势所迫
辨认,识别
看破,识破
识相,知趣
实话,真话
实际,现实
气力,实力
实情,真相
实施,实行
练习,实习
实行,实验
实在,着实
食品,食物
吃素,食斋
矢志不移,天长地久
始末,委曲
世故,油滑
凡间,世间
世界,天下
世人,众人
生生世世,世世代代
市集,墟市
时价,市价
街市商人,市井
市井之徒,屠狗之辈
示范,树模
表示,示意
变乱,事变
古迹,事迹
变乱,事件
事变,事情
究竟,事实
局势,事势
局势,事态
事件,事务
奇迹,事业
事件,事宜
侍从,随从
奉养,侍奉
半斤八两,势均力敌
权势,势力
视若无睹,置若罔闻
成仁取义,视死如归
摸索,试探
金饰,饰物
黑白,是非
青红皁白,是非黑白
青红皁白,是非曲直
得当,适当
拔苗助长,适得其反
得当,适合
恰到好处,适可而止
适宜,相宜
适应,顺应
实用,适用
开释,释放
不共戴天,誓不两立
收成,收获
劳绩,收获
收集,网络
收留,收容
收拾,摒挡
罢手,收手
紧缩,收缩
收据,收条
本领,手段
伎俩,手法
部下,手下
技术,手艺
手印,指模
守法,遵法
等待,守候
保卫,守护
取信,守信
初次,首次
都城,首都
首屈一指,压倒一切
金饰,首饰
起首,首先
首相,宰衡
首要,主要
被宠若惊,受宠若惊
受惠,沾恩
奉命,受命
上当,受骗
品格清高,瘦骨如柴
书本,书籍
书画,字画
册本,书籍
书写,誊写
抒怀,抒情
劝导,疏导
舒畅,愉快
舒服,舒适
开怀,舒怀
输送,运送
胜负,输赢
熟视无睹,置若罔闻
计无所出,束手就擒
束手无策,一筹莫展
名高引谤,树大招风
竖立,直立
不可胜数,数不胜数
数量,数目
革新,刷新
衰老,朽迈
阑珊,衰退
灭亡,衰亡
跌倒,摔倒
抛弃,甩掉
爽脆,爽利
爽快,爽直
开朗,爽朗
爽直,坦直
如胶似漆,水乳交融
不服水土,水土不服
水患,水灾
